campaign,pair_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
primary,native_ycsb_c_read_zipf-s1-f0-warm-r7-layers_5,native_ycsb_c_read_zipf,1,warm,0,7,layers_5,baseline,layers_5,59,60,native_ycsb_c_read_zipf-s1-f0-warm-r7-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r7-layers_5:layers_5,true,true,true,true,3421.877,275.495,0.0,0.0,0.14,31.519
primary,native_ycsb_c_read_zipf-s1-f0-warm-r7-2e_K10,native_ycsb_c_read_zipf,1,warm,0,7,2e_K10,baseline,2e_K10,61,62,native_ycsb_c_read_zipf-s1-f0-warm-r7-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r7-2e_K10:2e_K10,true,true,true,true,3328.733,314.037,0.0,0.0,0.151,582.719
primary,native_ycsb_c_read_zipf-s1-f0-warm-r7-2f_slru,native_ycsb_c_read_zipf,1,warm,0,7,2f_slru,2f_slru,baseline,64,63,native_ycsb_c_read_zipf-s1-f0-warm-r7-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r7-2f_slru:2f_slru,true,true,true,true,409.656,35.286,0.0,0.0,0.171,102883.893
primary,native_ycsb_c_read_zipf-s1-f0-warm-r8-2d,native_ycsb_c_read_zipf,1,warm,0,8,2d,baseline,2d,65,66,native_ycsb_c_read_zipf-s1-f0-warm-r8-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r8-2d:2d,true,true,true,true,3319.536,318.957,0.0,0.0,0.13,465.41
primary,native_ycsb_c_read_zipf-s1-f0-warm-r8-layers_5,native_ycsb_c_read_zipf,1,warm,0,8,layers_5,baseline,layers_5,67,68,native_ycsb_c_read_zipf-s1-f0-warm-r8-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r8-layers_5:layers_5,true,true,true,true,3357.096,268.772,0.0,0.0,0.14,36.067
primary,native_ycsb_c_read_zipf-s1-f0-warm-r8-2e_K10,native_ycsb_c_read_zipf,1,warm,0,8,2e_K10,2e_K10,baseline,70,69,native_ycsb_c_read_zipf-s1-f0-warm-r8-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r8-2e_K10:2e_K10,true,true,true,true,391.853,2326.61,0.0,0.0,0.13,433.55
primary,native_ycsb_c_read_zipf-s1-f0-warm-r8-2f_slru,native_ycsb_c_read_zipf,1,warm,0,8,2f_slru,2f_slru,baseline,72,71,native_ycsb_c_read_zipf-s1-f0-warm-r8-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r8-2f_slru:2f_slru,true,true,true,true,403.614,35.586,0.0,0.0,0.16,103009.279
primary,native_ycsb_c_read_zipf-s1-f0-warm-r9-2d,native_ycsb_c_read_zipf,1,warm,0,9,2d,2d,baseline,74,73,native_ycsb_c_read_zipf-s1-f0-warm-r9-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r9-2d:2d,true,true,true,true,1053.409,2093.353,0.0,0.0,0.14,395.119
primary,native_ycsb_c_read_zipf-s1-f0-warm-r9-layers_5,native_ycsb_c_read_zipf,1,warm,0,9,layers_5,layers_5,baseline,76,75,native_ycsb_c_read_zipf-s1-f0-warm-r9-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r9-layers_5:layers_5,true,true,true,true,314.097,2691.37,0.0,0.0,0.15,36.619
primary,native_ycsb_c_read_zipf-s1-f0-warm-r9-2e_K10,native_ycsb_c_read_zipf,1,warm,0,9,2e_K10,2e_K10,baseline,78,77,native_ycsb_c_read_zipf-s1-f0-warm-r9-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r9-2e_K10:2e_K10,true,true,true,true,412.17,2281.985,0.0,0.0,0.161,432.238
primary,native_ycsb_c_read_zipf-s1-f0-warm-r9-2f_slru,native_ycsb_c_read_zipf,1,warm,0,9,2f_slru,2f_slru,baseline,80,79,native_ycsb_c_read_zipf-s1-f0-warm-r9-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r9-2f_slru:2f_slru,true,true,true,true,404.546,39.303,0.0,0.0,0.13,103697.489
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2d,native_ycsb_c_read_zipf,1,standalone,0,0,2d,baseline,2d,81,82,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2d:2d,true,true,true,true,302.686,230.791,3449.498,412.882,0.15,467.233
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r0-layers_5,native_ycsb_c_read_zipf,1,standalone,0,0,layers_5,layers_5,baseline,84,83,native_ycsb_c_read_zipf-s1-f0-standalone-r0-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-layers_5:layers_5,true,true,true,true,234.338,295.171,397.082,2689.007,0.12,36.438
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,0,2e_K10,baseline,2e_K10,85,86,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2e_K10:2e_K10,true,true,true,true,133.579,83.156,3191.966,424.213,0.13,521.534
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,0,2f_slru,2f_slru,baseline,88,87,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r0-2f_slru:2f_slru,true,true,true,true,285.935,14.046,422.029,183.503,0.15,103293.276
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2d,native_ycsb_c_read_zipf,1,standalone,0,1,2d,baseline,2d,89,90,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2d:2d,true,true,true,true,299.831,109.605,3419.11,297.456,0.14,402.822
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r1-layers_5,native_ycsb_c_read_zipf,1,standalone,0,1,layers_5,layers_5,baseline,92,91,native_ycsb_c_read_zipf-s1-f0-standalone-r1-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-layers_5:layers_5,true,true,true,true,265.026,303.617,387.765,2680.079,0.14,35.736
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,1,2e_K10,2e_K10,baseline,94,93,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2e_K10:2e_K10,true,true,true,true,268.471,230.451,462.945,2312.121,0.191,424.744
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,1,2f_slru,baseline,2f_slru,95,96,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r1-2f_slru:2f_slru,true,true,true,true,145.312,14.126,3174.413,182.05,0.13,104777.553
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2d,native_ycsb_c_read_zipf,1,standalone,0,2,2d,2d,baseline,98,97,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2d:2d,true,true,true,true,289.121,84.207,407.391,2381.43,0.151,400.869
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r2-layers_5,native_ycsb_c_read_zipf,1,standalone,0,2,layers_5,layers_5,baseline,100,99,native_ycsb_c_read_zipf-s1-f0-standalone-r2-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r2-layers_5:layers_5,true,true,true,true,246.691,146.184,395.128,2413.471,0.13,37.169
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,2,2e_K10,2e_K10,baseline,102,101,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2e_K10:2e_K10,true,true,true,true,286.736,235.571,411.869,2324.183,0.14,441.134
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,2,2f_slru,baseline,2f_slru,103,104,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r2-2f_slru:2f_slru,true,true,true,true,299.8,14.277,3391.608,179.846,0.15,102970.469
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2d,native_ycsb_c_read_zipf,1,standalone,0,3,2d,2d,baseline,106,105,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2d:2d,true,true,true,true,289.862,74.579,405.659,2396.468,0.161,392.143
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r3-layers_5,native_ycsb_c_read_zipf,1,standalone,0,3,layers_5,layers_5,baseline,108,107,native_ycsb_c_read_zipf-s1-f0-standalone-r3-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r3-layers_5:layers_5,true,true,true,true,239.467,146.093,399.446,2423.789,0.13,35.917
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,3,2e_K10,2e_K10,baseline,110,109,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2e_K10:2e_K10,true,true,true,true,288.689,76.132,409.696,2396.508,0.131,424.484
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,3,2f_slru,2f_slru,baseline,112,111,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r3-2f_slru:2f_slru,true,true,true,true,266.758,14.186,425.685,185.707,0.14,102529.409
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2d,native_ycsb_c_read_zipf,1,standalone,0,4,2d,2d,baseline,114,113,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2d:2d,true,true,true,true,284.321,75.18,407.081,2336.426,0.13,393.405
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r4-layers_5,native_ycsb_c_read_zipf,1,standalone,0,4,layers_5,layers_5,baseline,116,115,native_ycsb_c_read_zipf-s1-f0-standalone-r4-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r4-layers_5:layers_5,true,true,true,true,235.109,283.97,389.257,2651.264,0.14,38.332
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,4,2e_K10,baseline,2e_K10,117,118,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2e_K10:2e_K10,true,true,true,true,295.543,178.343,3327.397,397.282,0.14,510.774
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,4,2f_slru,baseline,2f_slru,119,120,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r4-2f_slru:2f_slru,true,true,true,true,308.196,13.906,3372.841,182.15,0.14,103690.492
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2d,native_ycsb_c_read_zipf,1,standalone,0,5,2d,2d,baseline,122,121,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2d:2d,true,true,true,true,298.678,85.92,440.553,2292.082,0.14,396.471
