campaign,pair_id,block_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_14,block6,native_ycsb_c_read_uniform,1,warm,0,1,learned_markov_14,baseline,learned_markov_14,91,92,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_14:learned_markov_14,true,true,true,true,3148.942,193.56,0.0,0.0,0.13,80.65
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r2-2e_K500,block6,native_ycsb_c_read_uniform,1,warm,0,2,2e_K500,baseline,2e_K500,93,94,native_ycsb_c_read_uniform-s1-f0-warm-r2-2e_K500:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r2-2e_K500:2e_K500,true,true,true,true,392.471,306.841,0.0,0.0,0.14,2603.617
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top28,block6,native_ycsb_c_read_uniform,1,warm,0,2,2f_top28,baseline,2f_top28,95,96,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top28:2f_top28,true,true,true,true,3262.083,296.623,0.0,0.0,0.14,122.698
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top14,block6,native_ycsb_c_read_uniform,1,warm,0,2,2f_top14,2f_top14,baseline,98,97,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r2-2f_top14:2f_top14,true,true,true,true,207.035,2459.689,0.0,0.0,0.13,73.316
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_28,block6,native_ycsb_c_read_uniform,1,warm,0,2,learned_markov_28,learned_markov_28,baseline,100,99,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_28:learned_markov_28,true,true,true,true,369.378,2349.484,0.0,0.0,0.131,125.062
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_14,block6,native_ycsb_c_read_uniform,1,warm,0,2,learned_markov_14,baseline,learned_markov_14,101,102,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r2-learned_markov_14:learned_markov_14,true,true,true,true,3181.312,354.61,0.0,0.0,0.13,74.418
portability_ext,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2e_K500,block6,native_ycsb_c_read_uniform,1,standalone,0,0,2e_K500,2e_K500,baseline,104,103,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2e_K500:baseline,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2e_K500:2e_K500,true,true,true,true,286.403,92.152,401.167,1224.5,0.13,2187.462
portability_ext,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top28,block6,native_ycsb_c_read_uniform,1,standalone,0,0,2f_top28,2f_top28,baseline,106,105,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top28:baseline,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top28:2f_top28,true,true,true,true,283.819,88.475,396.888,2450.431,0.13,124.902
portability_ext,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top14,block6,native_ycsb_c_read_uniform,1,standalone,0,0,2f_top14,baseline,2f_top14,107,108,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top14:baseline,native_ycsb_c_read_uniform-s1-f0-standalone-r0-2f_top14:2f_top14,true,true,true,true,129.451,128.87,3249.93,227.113,0.12,83.115
portability_ext,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_28,block6,native_ycsb_c_read_uniform,1,standalone,0,0,learned_markov_28,baseline,learned_markov_28,109,110,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_28:baseline,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_28:learned_markov_28,true,true,true,true,141.483,298.836,3209.034,399.313,0.13,125.704
portability_ext,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_14,block6,native_ycsb_c_read_uniform,1,standalone,0,0,learned_markov_14,baseline,learned_markov_14,111,112,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_14:baseline,native_ycsb_c_read_uniform-s1-f0-standalone-r0-learned_markov_14:learned_markov_14,true,true,true,true,133.829,283.518,3254.96,385.898,0.13,73.647
