seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
6,C_hit,orig,2f_slru,pread,10,128,83.87,86.52,81.83,1.49,100.0,4523.56,167.65,4358.15,4608.40,4443.00,0.0
6,C_hit,orig,2f_top14,async,10,128,567.44,634.83,498.56,41.07,100.0,246.49,168.12,78.41,813.72,645.43,0.0
6,C_hit,orig,2f_top14,pread,10,128,612.01,665.49,522.32,52.56,100.0,1042.84,167.02,876.55,1682.12,1513.93,0.0
6,C_hit,orig,2f_top28,async,10,128,596.05,628.02,588.24,15.40,100.0,262.92,167.16,95.16,859.36,691.45,0.0
6,C_hit,orig,2f_top28,pread,10,128,514.26,618.41,497.29,50.44,100.0,1055.22,167.09,888.22,1586.49,1419.09,0.0
6,C_hit,orig,baseline,baseline,10,128,983.60,1006.87,920.68,25.36,0.0,0.00,0.00,0.00,983.60,983.60,0.0
6,C_hit,orig,layers_92,async,10,128,652.36,656.03,622.42,13.94,100.0,369.80,167.61,201.56,1019.69,852.08,0.0
6,C_hit,orig,layers_92,pread,10,128,652.17,661.86,588.07,22.34,100.0,7885.37,166.89,7718.45,8546.65,8378.69,0.0
6,C_hit,orig,lp_shuf,pread,10,128,86.32,88.63,82.53,1.67,100.0,55697.82,82.75,55613.16,55784.07,55699.41,0.0
6,C_hit,orig,lp_sorted,pread,10,128,85.07,88.70,83.96,1.76,100.0,4459.83,83.20,4374.43,4544.38,4458.98,0.0
6,C_hit,orig,learned_markov_14,async,10,128,566.26,636.66,499.77,53.47,100.0,161.20,81.50,79.46,725.88,643.35,0.0
6,C_hit,orig,learned_markov_14,pread,10,128,565.92,618.97,495.89,43.70,100.0,952.67,82.45,868.32,1527.72,1442.99,0.0
6,C_hit,orig,learned_markov_28,async,10,128,595.30,596.46,590.49,1.94,100.0,177.92,82.19,95.69,772.68,690.32,0.0
6,C_hit,orig,learned_markov_28,pread,10,128,499.94,582.87,496.14,35.95,100.0,965.15,82.16,883.12,1471.96,1390.09,0.0
7,C_hit,orig,2d,async,10,128,620.51,631.33,520.42,32.19,100.0,294.60,226.09,68.59,914.59,688.60,0.0
7,C_hit,orig,2d,pread,10,128,630.15,654.06,604.91,14.83,100.0,655.28,225.59,429.56,1289.46,1063.39,0.0
7,C_hit,orig,2e_K10,async,10,128,595.38,644.32,528.67,47.56,100.0,306.37,226.94,79.93,902.13,675.76,0.0
7,C_hit,orig,2e_K10,pread,10,128,597.03,639.92,498.19,50.75,100.0,1202.12,226.38,975.56,1798.17,1571.49,0.0
7,C_hit,orig,2e_K500,async,10,128,171.56,175.52,169.97,1.97,45.8,941.83,226.68,713.93,1115.75,887.86,0.0
7,C_hit,orig,2e_K500,pread,10,128,169.78,173.77,168.46,1.79,100.0,3384.82,226.40,3157.10,3554.15,3326.43,0.0
7,C_hit,orig,2f_slru,async,10,128,87.22,91.27,82.83,2.81,100.0,1568.85,226.13,1343.43,1657.59,1430.26,0.0
7,C_hit,orig,2f_slru,pread,10,128,84.06,87.48,81.63,2.11,100.0,4575.54,226.11,4349.32,4660.32,4434.10,0.0
7,C_hit,orig,2f_top14,async,10,128,581.94,616.85,532.96,28.20,100.0,304.78,227.00,77.38,888.39,660.31,0.0
7,C_hit,orig,2f_top14,pread,10,128,549.61,630.95,494.86,53.58,100.0,1101.30,226.68,874.62,1657.32,1431.28,0.0
7,C_hit,orig,2f_top28,async,10,128,612.13,656.34,562.01,31.38,100.0,321.34,226.25,95.05,934.30,707.94,0.0
7,C_hit,orig,2f_top28,pread,10,128,533.15,621.65,504.17,44.04,100.0,1108.90,226.16,884.67,1639.24,1413.90,0.0
7,C_hit,orig,baseline,baseline,10,128,1014.04,1042.98,979.53,22.61,0.0,0.00,0.00,0.00,1014.04,1014.04,0.0
7,C_hit,orig,layers_92,async,10,128,648.16,658.54,629.48,11.56,100.0,427.47,226.89,201.29,1072.91,844.43,0.0
7,C_hit,orig,layers_92,pread,10,128,645.25,662.94,524.21,38.22,100.0,8030.53,226.90,7805.00,8655.25,8428.35,0.0
7,C_hit,orig,lp_shuf,pread,10,128,86.83,90.44,84.16,2.20,100.0,52851.24,81.84,52769.35,52941.43,52859.55,0.0
7,C_hit,orig,lp_sorted,pread,10,128,85.91,89.53,82.55,2.11,100.0,4540.47,82.03,4459.38,4628.08,4546.99,0.0
7,C_hit,orig,learned_markov_14,async,10,128,551.17,601.32,501.10,36.55,100.0,160.06,82.64,77.27,710.42,627.39,0.0
7,C_hit,orig,learned_markov_14,pread,10,128,600.26,660.77,527.83,44.72,100.0,961.32,82.67,877.16,1575.34,1492.48,0.0
7,C_hit,orig,learned_markov_28,async,10,128,596.22,639.86,586.86,18.86,100.0,176.59,82.69,93.71,774.30,691.00,0.0
7,C_hit,orig,learned_markov_28,pread,10,128,530.49,584.39,500.93,30.15,100.0,963.65,82.32,881.62,1489.49,1407.20,0.0
8,C_hit,orig,2d,async,10,128,537.62,543.47,506.54,14.23,100.0,194.06,125.42,68.30,731.63,605.91,0.0
8,C_hit,orig,2d,pread,10,128,507.44,540.36,432.91,27.79,100.0,554.42,124.56,430.03,1063.59,938.31,0.0
8,C_hit,orig,2e_K10,async,10,128,512.52,545.41,437.55,29.76,100.0,206.30,125.41,80.26,716.65,591.60,0.0
8,C_hit,orig,2e_K10,pread,10,128,477.55,543.68,441.61,33.80,100.0,1105.24,125.56,980.90,1580.95,1456.62,0.0
8,C_hit,orig,2e_K500,async,10,128,553.35,571.42,501.85,30.78,45.7,817.19,125.22,691.94,1356.81,1231.79,0.0
8,C_hit,orig,2e_K500,pread,10,128,578.55,584.51,502.56,24.09,100.0,3263.95,124.91,3138.02,3839.94,3714.34,0.0
8,C_hit,orig,2f_slru,async,10,128,85.11,88.86,81.52,2.41,100.0,1563.03,166.72,1397.09,1648.66,1482.18,0.0
8,C_hit,orig,2f_slru,pread,10,128,82.06,88.31,80.54,3.08,100.0,4609.55,165.50,4443.83,4691.63,4525.92,0.0
8,C_hit,orig,2f_top14,async,10,128,460.20,526.85,443.94,31.32,100.0,244.77,166.08,78.45,707.02,542.16,0.0
8,C_hit,orig,2f_top14,pread,10,128,480.26,539.90,442.21,34.65,100.0,1048.65,166.06,880.55,1532.00,1365.79,0.0
8,C_hit,orig,2f_top28,async,10,128,509.93,540.39,435.45,29.36,100.0,263.41,165.79,96.53,773.97,607.27,0.0
8,C_hit,orig,2f_top28,pread,10,128,484.12,516.96,477.48,15.56,100.0,1052.72,165.82,884.68,1541.23,1374.91,0.0
8,C_hit,orig,baseline,baseline,10,128,910.24,943.31,829.78,30.42,0.0,0.00,0.00,0.00,910.24,910.24,0.0
8,C_hit,orig,layers_92,async,10,128,500.77,540.10,499.29,15.63,100.0,370.77,166.09,204.30,873.32,707.21,0.0
8,C_hit,orig,layers_92,pread,10,128,539.81,545.05,501.40,15.69,100.0,7979.23,166.66,7813.03,8521.12,8354.93,0.0
