seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
5,YC,orig,2e_K10,pread,10,128,576.01,647.25,561.72,32.04,100.0,8898.94,142.22,8753.47,9488.99,9343.92,0.0
5,YC,orig,2e_K500,async,10,128,596.55,668.48,527.52,44.97,100.0,1151.31,141.27,1012.58,1758.02,1618.72,0.0
5,YC,orig,2e_K500,pread,10,128,599.71,638.19,503.15,44.57,100.0,51871.77,142.43,51735.76,52476.92,52334.52,0.0
5,YC,orig,2f_slru,async,10,128,100.75,103.44,98.94,1.45,100.0,42115.62,143.40,41972.23,42216.24,42072.84,0.0
5,YC,orig,2f_slru,pread,10,128,107.22,109.91,97.41,3.81,100.0,103461.12,142.48,103318.82,103563.99,103421.69,0.0
5,YC,orig,2f_top14,async,10,128,1052.38,1101.68,946.13,53.70,100.0,227.75,143.09,85.08,1281.69,1138.46,0.0
5,YC,orig,2f_top14,pread,10,128,1077.47,1147.75,1012.33,48.72,100.0,1381.55,142.38,1236.13,2496.94,2354.99,0.0
5,YC,orig,2f_top28,async,10,128,1012.91,1085.40,946.69,48.71,100.0,246.39,142.20,104.31,1259.63,1118.47,0.0
5,YC,orig,2f_top28,pread,10,128,1038.88,1089.33,979.85,33.63,100.0,2589.22,141.37,2447.55,3640.51,3499.48,0.0
5,YC,orig,baseline,baseline,10,128,1057.98,1209.82,1007.67,70.48,0.0,0.00,0.00,0.00,1057.98,1057.98,0.0
5,YC,orig,layers_5,async,10,128,1044.20,1099.86,980.07,37.00,100.0,213.33,142.46,70.60,1255.70,1113.73,0.0
5,YC,orig,layers_5,pread,10,128,1036.59,1118.13,978.67,45.35,100.0,586.95,142.66,444.02,1622.86,1481.59,0.0
5,YC,orig,layers_92,async,10,128,579.89,663.20,526.77,43.93,100.0,343.58,142.11,199.62,924.35,778.85,0.0
5,YC,orig,layers_92,pread,10,128,610.00,665.55,527.33,46.58,100.0,8087.84,141.85,7944.81,8684.89,8543.30,0.0
5,YC,orig,lp_shuf,pread,10,128,119.04,122.15,107.17,4.17,100.0,1567273.23,85.22,1567187.70,1567390.60,1567305.06,0.0
5,YC,orig,lp_sorted,pread,10,128,105.95,107.60,100.95,2.40,100.0,102098.63,84.24,102017.07,102205.17,102123.61,0.0
5,YC,orig,learned_markov_14,async,10,128,1027.54,1116.33,947.64,51.18,100.0,167.74,84.49,83.15,1195.14,1110.63,0.0
5,YC,orig,learned_markov_14,pread,10,128,1016.43,1082.64,925.95,47.47,100.0,1329.07,83.31,1246.24,2370.60,2286.26,0.0
5,YC,orig,learned_markov_28,async,10,128,1062.30,1118.86,983.46,38.02,100.0,187.59,84.14,103.16,1248.65,1165.37,0.0
5,YC,orig,learned_markov_28,pread,10,128,1060.31,1102.05,976.25,38.57,100.0,2509.46,84.76,2424.57,3569.14,3485.80,0.0
6,YC,orig,2d,async,10,128,481.76,498.19,422.22,26.23,100.0,330.28,131.47,199.09,809.73,678.97,0.0
6,YC,orig,2d,pread,10,128,483.94,505.87,475.81,11.98,100.0,8073.04,132.26,7941.86,8563.62,8430.89,0.0
6,YC,orig,2e_K10,async,10,128,480.06,492.89,478.67,5.65,100.0,346.01,131.91,213.49,826.34,694.54,0.0
6,YC,orig,2e_K10,pread,10,128,481.55,484.88,424.33,17.43,100.0,8941.53,131.37,8826.56,9419.51,9306.40,0.0
6,YC,orig,2e_K500,async,10,128,484.09,487.22,482.15,1.82,100.0,1135.30,132.04,1003.49,1619.41,1486.54,0.0
6,YC,orig,2e_K500,pread,10,128,485.79,489.21,483.52,1.88,100.0,51861.85,132.06,51729.40,52349.46,52217.02,0.0
6,YC,orig,2f_slru,async,10,128,100.75,102.53,98.80,1.17,100.0,42122.43,131.44,41991.26,42223.51,42092.34,0.0
6,YC,orig,2f_slru,pread,10,128,107.12,115.59,105.17,3.69,100.0,100129.38,131.56,99992.80,100236.70,100100.12,0.0
6,YC,orig,2f_top14,async,10,128,480.57,484.78,419.10,24.50,100.0,216.00,131.70,83.82,696.91,564.74,0.0
6,YC,orig,2f_top14,pread,10,128,483.85,502.63,414.95,23.84,100.0,1381.15,130.88,1250.04,1866.68,1735.18,0.0
6,YC,orig,2f_top28,async,10,128,480.26,487.40,415.38,20.08,100.0,236.11,130.83,103.62,716.98,585.88,0.0
6,YC,orig,2f_top28,pread,10,128,480.51,491.04,423.36,18.58,100.0,2535.80,131.16,2405.27,3022.85,2892.37,0.0
6,YC,orig,baseline,baseline,10,128,905.42,908.83,898.00,3.84,0.0,0.00,0.00,0.00,905.42,905.42,0.0
6,YC,orig,layers_5,async,10,128,872.06,877.65,804.08,31.67,100.0,202.53,131.81,70.28,1074.30,941.93,0.0
6,YC,orig,layers_5,pread,10,128,872.54,878.62,740.35,40.14,100.0,568.42,130.38,437.20,1442.48,1310.76,0.0
6,YC,orig,layers_92,async,10,128,478.58,484.62,474.02,3.53,100.0,331.37,131.56,199.12,813.21,680.65,0.0
6,YC,orig,layers_92,pread,10,128,483.34,493.90,475.61,5.60,100.0,8108.97,131.80,7979.42,8590.98,8461.03,0.0
6,YC,orig,lp_shuf,pread,10,128,121.03,123.12,114.17,2.98,100.0,1565477.67,83.70,1565393.48,1565597.25,1565513.07,0.0
6,YC,orig,lp_sorted,pread,10,128,108.23,115.27,99.88,5.13,100.0,103483.98,84.57,103399.55,103596.63,103512.21,0.0
6,YC,orig,learned_markov_14,async,10,128,481.62,484.58,477.68,1.89,100.0,168.24,83.90,83.75,649.89,565.79,0.0
6,YC,orig,learned_markov_14,pread,10,128,482.76,484.73,419.87,18.91,100.0,1328.46,84.00,1246.85,1810.35,1729.05,0.0
6,YC,orig,learned_markov_28,async,10,128,482.08,486.72,421.65,18.56,100.0,188.22,84.67,103.59,669.39,585.67,0.0
6,YC,orig,learned_markov_28,pread,10,128,482.31,516.58,477.38,14.20,100.0,2513.47,84.53,2428.64,3005.97,2920.33,0.0
7,YC,orig,2d,async,10,128,539.06,544.36,502.31,14.64,100.0,371.56,172.32,198.86,909.33,737.02,0.0
7,YC,orig,2d,pread,10,128,505.97,551.37,500.92,20.42,100.0,8094.76,173.17,7911.33,8603.85,8419.30,0.0
7,YC,orig,2e_K10,async,10,128,542.29,546.92,499.82,18.84,100.0,388.46,173.01,215.14,928.64,755.63,0.0
7,YC,orig,2e_K10,pread,10,128,523.61,544.70,500.79,18.66,100.0,8913.43,172.31,8737.94,9421.16,9245.67,0.0
7,YC,orig,2e_K500,async,10,128,530.59,584.06,467.60,48.07,100.0,1183.03,172.23,1009.83,1715.71,1542.97,0.0
