seed,workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
1,YC,orig,2e_K500,pread,128,5,0,0.00,100.00,665.96,52083.63,142.93,51940.70,52749.59,52606.66,6.05,1126.00,1693.00,0.53,56969516
1,YC,orig,2e_K500,async,128,5,0,0.00,100.00,667.96,1146.05,143.23,1002.83,1814.01,1670.79,6.08,1131.00,1677.00,0.53,56968244
1,YC,orig,2f_slru,pread,128,5,0,0.00,100.00,112.75,104589.60,143.47,104446.13,104702.35,104558.88,1.73,0.00,1652.00,0.53,56969132
1,YC,orig,2f_slru,async,128,5,0,0.00,100.00,102.28,42512.59,140.72,42371.87,42614.87,42474.15,1.78,0.00,1652.00,0.53,56965544
1,YC,orig,2f_top14,pread,128,5,0,0.00,100.00,660.12,1412.62,141.86,1270.77,2072.74,1930.89,5.77,1121.00,1475.00,0.53,56969464
1,YC,orig,2f_top14,async,128,5,0,0.00,100.00,666.18,225.04,141.52,83.53,891.22,749.71,6.04,1121.00,1475.00,0.53,56970840
1,YC,orig,2f_top28,pread,128,5,0,0.00,100.00,638.46,2561.75,141.48,2420.28,3200.21,3058.74,6.01,1123.00,1490.00,0.53,56972028
1,YC,orig,2f_top28,async,128,5,0,0.00,100.00,666.63,247.75,142.21,105.54,914.38,772.17,6.05,1123.00,1489.00,0.57,56972424
1,YC,orig,layers_5,pread,128,5,0,0.00,100.00,999.23,597.56,152.10,445.47,1596.79,1444.70,6.16,1121.00,1464.00,0.57,56971916
1,YC,orig,layers_5,async,128,5,0,0.00,100.00,993.00,216.36,143.34,73.02,1209.36,1066.02,6.08,1122.00,1463.00,0.57,56965304
1,YC,orig,layers_92,pread,128,5,0,0.00,100.00,639.10,8177.53,149.06,8028.47,8816.63,8667.57,6.23,1126.00,1513.00,0.57,56966892
1,YC,orig,layers_92,async,128,5,0,0.00,100.00,634.78,342.59,142.33,200.27,977.37,835.05,6.01,1127.00,1513.00,0.57,56966880
1,YC,orig,baseline,baseline,128,6,0,0.00,0.00,960.34,0.00,0.00,0.00,960.34,960.34,5.76,1122.00,1462.00,0.57,56968536
1,YC,orig,2d,pread,128,6,0,0.00,100.00,600.58,8237.39,142.02,8095.37,8837.97,8695.95,6.05,1126.00,1514.00,0.57,56969124
1,YC,orig,2d,async,128,6,0,0.00,100.00,604.45,351.01,148.64,202.37,955.46,806.82,5.98,1127.00,1512.00,0.57,56968812
1,YC,orig,2e_K10,pread,128,6,0,0.00,100.00,636.93,8931.25,143.18,8788.07,9568.18,9425.00,6.19,1125.00,1526.00,0.57,56970252
