op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
480,read,94433,1,100,56045,0,0
481,read,14004,1,100,55875,0,0
482,read,16513,1,100,55093,0,0
483,read,15992,1,100,55625,0,0
484,read,60307,1,100,59432,0,0
485,read,46254,1,100,55935,0,0
486,read,72326,1,100,55354,0,0
487,read,80559,1,100,55273,0,0
488,read,2284,1,100,56576,0,0
489,read,58332,1,100,55595,0,0
490,read,68272,1,100,56025,0,0
491,read,46270,1,100,2615,0,0
492,read,37848,1,100,2725,0,0
493,read,47552,1,100,55945,0,0
494,read,27968,1,100,55334,0,0
495,read,51195,1,100,55214,0,0
496,read,6192,1,100,55244,0,0
497,read,13858,1,100,55063,0,0
498,read,66653,1,100,56166,0,0
499,read,98699,1,100,55584,0,0
500,read,12434,1,100,57728,0,0
501,read,77703,1,100,55655,0,0
502,read,87089,1,100,56076,0,0
503,read,42581,1,100,2746,0,0
504,read,96487,1,100,55214,0,0
505,read,10849,1,100,2945,0,0
506,read,87654,1,100,2715,0,0
507,read,26995,1,100,56115,0,0
508,read,50369,1,100,55985,0,0
509,read,23567,1,100,56306,0,0
510,read,54892,1,100,55304,0,0
511,read,16535,1,100,2746,0,0
512,read,62281,1,100,55725,0,0
513,read,18426,1,100,56716,0,0
514,read,697,1,100,56667,0,0
515,read,21308,1,100,55565,0,0
516,read,11313,1,100,55965,0,0
517,read,43389,1,100,55394,0,0
518,read,4233,1,100,101712,0,0
519,read,12873,1,100,56356,0,0
520,read,19191,1,100,53410,0,0
521,read,28715,1,100,55985,0,0
522,read,59980,1,100,56456,0,0
523,read,56388,1,100,55123,0,0
524,read,26323,1,100,55665,0,0
525,read,86679,1,100,55113,0,0
526,read,53041,1,100,56115,0,0
527,read,7816,1,100,2885,0,0
528,read,7389,1,100,56547,0,0
529,read,19884,1,100,55785,0,0
530,read,14993,1,100,55695,0,0
531,read,60469,1,100,2946,0,0
532,read,91187,1,100,56255,0,0
533,read,11835,1,100,56216,0,0
534,read,17607,1,100,56737,0,0
535,read,87602,1,100,2746,0,0
536,read,5398,1,100,56316,0,0
537,read,47047,1,100,55514,0,0
538,read,57603,1,100,55935,0,0
539,read,27047,1,100,56306,0,0
540,read,31345,1,100,55455,0,0
541,read,30820,1,100,55765,0,0
542,read,56532,1,100,55494,0,0
543,read,44756,1,100,55835,0,0
544,read,88027,1,100,55254,0,0
545,read,18745,1,100,56246,0,0
546,read,11719,1,100,56125,0,0
547,read,88510,1,100,55444,0,0
548,read,1251,1,100,56005,0,0
549,read,38232,1,100,56085,0,0
550,read,42911,1,100,55595,0,0
551,read,87708,1,100,2745,0,0
552,read,52523,1,100,55645,0,0
553,read,45293,1,100,55334,0,0
554,read,30003,1,100,56406,0,0
555,read,7980,1,100,55194,0,0
556,read,7597,1,100,55083,0,0
557,read,72112,1,100,55564,0,0
558,read,8468,1,100,55935,0,0
559,read,14461,1,100,54863,0,0
560,read,32726,1,100,57237,0,0
561,read,37758,1,100,55695,0,0
562,read,30733,1,100,56686,0,0
563,read,16399,1,100,55795,0,0
564,read,73052,1,100,2776,0,0
565,read,106,1,100,3246,0,0
566,read,79259,1,100,55725,0,0
567,read,83993,1,100,55294,0,0
568,read,71190,1,100,55123,0,0
569,read,34507,1,100,56095,0,0
570,read,55165,1,100,111920,0,0
571,read,72769,1,100,55545,0,0
572,read,48202,1,100,55334,0,0
573,read,48577,1,100,55785,0,0
574,read,82063,1,100,55564,0,0
575,read,17073,1,100,56336,0,0
576,read,54640,1,100,56246,0,0
577,read,4355,1,100,56446,0,0
578,read,78992,1,100,56025,0,0
579,read,37923,1,100,55183,0,0
580,read,45857,1,100,56316,0,0
581,read,41088,1,100,55825,0,0
582,read,90471,1,100,55313,0,0
583,read,431,1,100,55364,0,0
584,read,45947,1,100,56046,0,0
585,read,66370,1,100,2865,0,0
586,read,99465,1,100,55574,0,0
587,read,380,1,100,55524,0,0
588,read,84752,1,100,56546,0,0
589,read,38553,1,100,56146,0,0
590,read,10471,1,100,55535,0,0
591,read,49614,1,100,2846,0,0
592,read,94322,1,100,55164,0,0
593,read,24074,1,100,55895,0,0
594,read,79956,1,100,55855,0,0
595,read,42683,1,100,2736,0,0
596,read,58291,1,100,55034,0,0
597,read,13713,1,100,55203,0,0
598,read,96133,1,100,55705,0,0
599,read,78163,1,100,56597,0,0
600,read,97725,1,100,56025,0,0
601,read,69999,1,100,56145,0,0
602,read,26048,1,100,55023,0,0
603,read,52308,1,100,55284,0,0
604,read,83219,1,100,56075,0,0
605,read,88917,1,100,55083,0,0
606,read,9255,1,100,56446,0,0
607,read,25124,1,100,55624,0,0
608,read,26915,1,100,55675,0,0
609,read,94673,1,100,55545,0,0
610,read,46959,1,100,55083,0,0
611,read,56017,1,100,55815,0,0
612,read,63029,1,100,55804,0,0
613,read,37133,1,100,55775,0,0
614,read,85654,1,100,56065,0,0
615,read,72460,1,100,55204,0,0
616,read,71392,1,100,70272,0,0
617,read,21412,1,100,62007,0,0
618,read,50763,1,100,2826,0,0
619,read,3502,1,100,55515,0,0
620,read,34127,1,100,55875,0,0
621,read,95515,1,100,56076,0,0
622,read,4079,1,100,56947,0,0
623,read,81971,1,100,55745,0,0
624,read,88142,1,100,55284,0,0
625,read,21150,1,100,56096,0,0
626,read,25255,1,100,55344,0,0
627,read,47910,1,100,55905,0,0
628,read,24118,1,100,56005,0,0
629,read,13214,1,100,56316,0,0
630,read,17876,1,100,55354,0,0
631,read,93645,1,100,55425,0,0
632,read,79259,1,100,2896,0,0
633,read,13291,1,100,55955,0,0
634,read,35449,1,100,55273,0,0
635,read,15894,1,100,56747,0,0
636,read,9646,1,100,55684,0,0
637,read,47332,1,100,57428,0,0
638,read,7443,1,100,56075,0,0
639,read,33404,1,100,56255,0,0
640,read,47337,1,100,2635,0,0
641,read,17052,1,100,56126,0,0
642,read,33040,1,100,56286,0,0
643,read,53838,1,100,55264,0,0
644,read,12160,1,100,2765,0,0
645,read,81406,1,100,56115,0,0
646,read,34077,1,100,55374,0,0
647,read,68082,1,100,55384,0,0
648,read,72577,1,100,55545,0,0
649,read,15648,1,100,56225,0,0
650,read,87325,1,100,56176,0,0
651,read,70115,1,100,2756,0,0
652,read,15854,1,100,56036,0,0
653,read,43227,1,100,71364,0,0
654,read,37605,1,100,2755,0,0
655,read,83623,1,100,55354,0,0
656,read,99885,1,100,56276,0,0
657,read,86239,1,100,55936,0,0
658,read,40425,1,100,56316,0,0
659,read,57608,1,100,2735,0,0
660,read,30799,1,100,2955,0,0
661,read,702,1,100,2695,0,0
662,read,12265,1,100,55555,0,0
663,read,14844,1,100,55114,0,0
664,read,81176,1,100,55304,0,0
665,read,13229,1,100,2685,0,0
666,read,57796,1,100,55835,0,0
667,read,50890,1,100,55594,0,0
668,read,47025,1,100,2745,0,0
669,read,88355,1,100,55615,0,0
670,read,23632,1,100,55735,0,0
671,read,17342,1,100,56596,0,0
672,read,50780,1,100,55765,0,0
673,read,46,1,100,2895,0,0
674,read,54442,1,100,56807,0,0
675,read,27481,1,100,55775,0,0
676,read,31455,1,100,55504,0,0
677,read,561,1,100,55354,0,0
678,read,54685,1,100,55274,0,0
679,read,16993,1,100,55936,0,0
680,read,10992,1,100,2816,0,0
681,read,22892,1,100,56346,0,0
682,read,70272,1,100,56106,0,0
683,read,34955,1,100,56196,0,0
684,read,55221,1,100,2795,0,0
685,read,22040,1,100,55514,0,0
686,read,51136,1,100,2745,0,0
687,read,40053,1,100,55925,0,0
688,read,8510,1,100,56245,0,0
689,read,3124,1,100,2916,0,0
690,read,15993,1,100,2746,0,0
691,read,74575,1,100,56667,0,0
692,read,51602,1,100,56145,0,0
693,read,34881,1,100,55895,0,0
694,read,74505,1,100,56296,0,0
695,read,7021,1,100,56507,0,0
696,read,83639,1,100,55555,0,0
697,read,88442,1,100,55303,0,0
698,read,71251,1,100,55024,0,0
699,read,93627,1,100,2665,0,0
700,read,24641,1,100,55905,0,0
701,read,40676,1,100,55955,0,0
702,read,40817,1,100,55013,0,0
703,read,78309,1,100,56136,0,0
704,read,71750,1,100,55324,0,0
705,read,86745,1,100,56045,0,0
706,read,44331,1,100,55174,0,0
707,read,2971,1,100,55484,0,0
708,read,87240,1,100,56115,0,0
709,read,19041,1,100,55825,0,0
710,read,40386,1,100,55845,0,0
711,read,37341,1,100,2836,0,0
712,read,26210,1,100,56256,0,0
713,read,55965,1,100,56145,0,0
714,read,27783,1,100,2805,0,0
715,read,65208,1,100,112622,0,0
716,read,5894,1,100,56355,0,0
717,read,55408,1,100,56306,0,0
718,read,8607,1,100,56286,0,0
719,read,20180,1,100,56186,0,0
720,read,22303,1,100,2875,0,0
721,read,87304,1,100,56356,0,0
722,read,6206,1,100,56095,0,0
723,read,72074,1,100,55524,0,0
724,read,29148,1,100,55875,0,0
725,read,8223,1,100,56365,0,0
726,read,58849,1,100,56927,0,0
727,read,75798,1,100,56656,0,0
728,read,24881,1,100,55785,0,0
729,read,52524,1,100,2755,0,0
730,read,74626,1,100,55965,0,0
731,read,94155,1,100,55344,0,0
732,read,56889,1,100,55404,0,0
733,read,93211,1,100,56046,0,0
