workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
B,orig,layers_5,pread,5,128,408.27,441.88,404.76,17.19,100.0,672.08,228.46,443.62,,,1078.11,849.83,0.0
B,orig,layers_92,async,10,128,411.04,416.35,397.37,5.64,100.0,423.38,228.87,193.50,,,834.94,604.97,0.0
B,orig,layers_92,async_bulk,5,128,406.24,416.91,403.99,5.36,100.0,409.80,228.75,112.80,65.63,87.00,815.32,519.55,0.0
B,orig,layers_92,async_win,10,128,412.39,419.23,399.56,6.28,100.0,406.17,228.23,114.80,65.41,87.00,823.12,529.03,0.0
B,orig,layers_92,pread,5,128,408.01,418.16,401.44,6.02,100.0,8260.19,229.19,8032.92,,,8668.20,8440.93,0.0
B,orig,leaf_freq_K10,async,10,128,721.94,730.74,711.01,6.47,100.0,307.69,232.04,75.83,,,1029.94,797.57,0.0
B,orig,leaf_freq_K10,async_bulk,5,128,719.94,722.74,711.51,4.08,100.0,309.01,231.30,15.40,61.87,10.00,1027.07,735.19,0.0
B,orig,leaf_freq_K10,async_win,10,128,721.65,731.26,710.38,6.52,100.0,307.43,230.72,15.06,61.16,10.00,1028.56,736.45,0.0
B,orig,leaf_freq_K10,pread,5,128,713.36,724.58,707.47,6.47,100.0,1122.41,232.24,889.01,,,1829.88,1596.48,0.0
B,orig,leaf_rand_K10,async,10,128,715.39,726.71,706.16,6.29,100.0,308.45,231.55,76.64,,,1023.73,791.26,0.0
B,orig,leaf_rand_K10,async_bulk,5,128,718.03,727.56,713.29,5.82,100.0,311.19,233.53,15.50,62.59,10.00,1030.49,733.53,0.0
B,orig,leaf_rand_K10,async_win,10,128,722.48,822.23,709.88,52.10,100.0,310.08,232.06,15.54,62.06,10.00,1036.31,740.07,0.0
B,orig,leaf_rand_K10,pread,5,128,722.80,731.25,714.87,5.90,100.0,1159.32,232.81,926.83,,,1882.71,1649.90,0.0
B,orig,learned_markov_14,async,10,128,411.12,418.97,400.37,6.47,100.0,312.25,231.56,80.84,,,723.42,493.01,0.0
