workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
C,orig,learned_markov_14,async_win,128,11,0,0.00,100.00,175.54,274.56,194.71,18.25,61.59,9.00,450.10,193.79,1.61,22.00,27.00,1.00,43001496,2026-09-23T02:03:25Z
C,orig,learned_markov_28,async,128,11,0,0.00,100.00,172.99,288.24,193.38,94.86,,,461.23,267.85,1.60,21.00,28.00,1.00,43001584,2026-09-23T02:03:25Z
C,orig,learned_markov_28,async_win,128,11,0,0.00,100.00,174.13,281.44,192.36,26.44,62.64,13.00,455.57,200.57,1.60,21.00,28.00,1.00,43001292,2026-09-23T02:03:26Z
C_hit,orig,layers_5,async,128,11,0,0.00,100.00,863.82,260.39,192.17,68.22,,,1124.21,932.04,1.65,36.00,64.00,1.00,43001756,2026-09-23T02:03:26Z
C_hit,orig,layers_5,async_win,128,11,0,0.00,100.00,932.92,265.12,197.51,6.88,60.72,2.00,1198.04,939.80,1.67,36.00,64.00,1.00,43002208,2026-09-23T02:03:26Z
C_hit,orig,layers_92,async,128,11,0,0.00,100.00,522.71,393.47,196.16,197.31,,,916.18,720.02,1.67,35.00,65.00,1.00,43003056,2026-09-23T02:03:27Z
C_hit,orig,layers_92,async_win,128,11,0,0.00,100.00,558.87,373.64,192.52,116.09,65.03,87.00,932.51,674.96,1.66,35.00,65.00,1.00,43003708,2026-09-23T02:03:27Z
C_hit,orig,2d,async,128,11,0,0.00,100.00,490.10,258.25,190.30,67.96,,,748.35,558.06,1.67,35.00,65.00,1.00,43003696,2026-09-23T02:03:27Z
C_hit,orig,2d,async_win,128,11,0,0.00,100.00,587.35,259.81,191.09,7.74,60.98,3.00,847.16,595.09,1.66,35.00,65.00,1.00,43004184,2026-09-23T02:03:27Z
C_hit,orig,2e_K10,async,128,11,0,0.00,100.00,501.29,272.44,193.19,79.25,,,773.73,580.54,1.66,35.00,66.00,1.00,43004160,2026-09-23T02:03:28Z
C_hit,orig,2e_K10,async_win,128,11,0,0.00,100.00,615.80,271.49,193.11,16.05,62.33,6.00,887.29,631.85,1.67,35.00,66.00,1.00,43004060,2026-09-23T02:03:28Z
C_hit,orig,2e_K500,async,128,11,0,0.00,45.90,173.93,880.09,194.51,685.58,,,1054.02,859.51,1.59,9.00,65.00,1.00,43003456,2026-09-23T02:03:28Z
C_hit,orig,2e_K500,async_win,128,11,0,0.00,100.00,174.74,622.46,191.59,341.09,89.78,139.00,797.20,515.83,1.58,9.00,65.00,1.00,43004800,2026-09-23T02:03:28Z
C_hit,orig,2f_top14,async,128,11,0,0.00,100.00,531.68,270.43,194.02,76.40,,,802.11,608.08,1.66,35.00,66.00,1.00,43006660,2026-09-23T02:03:29Z
C_hit,orig,2f_top14,async_win,128,11,0,0.00,100.00,559.23,266.36,192.79,13.59,59.98,6.00,825.59,572.82,1.66,35.00,66.00,1.00,43006592,2026-09-23T02:03:29Z
C_hit,orig,2f_top28,async,128,11,0,0.00,100.00,651.75,286.18,193.75,92.42,,,937.93,744.17,1.67,35.00,66.00,1.00,42998284,2026-09-23T02:03:29Z
C_hit,orig,2f_top28,async_win,128,11,0,0.00,100.00,613.76,285.43,195.89,24.09,65.45,8.00,899.19,637.85,1.67,35.00,66.00,1.00,43002496,2026-09-23T02:03:29Z
C_hit,orig,2f_top100,async,128,11,0,0.00,100.00,549.99,372.11,193.98,178.12,,,922.10,728.11,1.68,30.00,67.00,1.00,43002540,2026-09-23T02:03:30Z
C_hit,orig,2f_top100,async_win,128,11,0,0.00,69.00,587.32,328.99,194.10,70.29,64.59,28.00,916.31,657.61,1.65,30.00,67.00,1.00,43003596,2026-09-23T02:03:30Z
C_hit,orig,2f_top500,async,128,11,0,0.00,55.00,204.30,1025.05,211.00,814.05,,,1229.35,1018.35,1.60,9.00,65.00,1.00,43003664,2026-09-23T02:03:30Z
C_hit,orig,2f_top500,async_win,128,11,0,0.00,100.00,178.06,638.37,194.41,350.10,93.87,138.00,816.43,528.16,1.59,9.00,65.00,1.00,43004220,2026-09-23T02:03:30Z
C_hit,orig,2f_slru,async,128,11,0,0.00,100.00,90.40,1602.65,192.14,1410.51,,,1693.05,1500.91,1.55,0.00,62.00,1.00,43006100,2026-09-23T02:03:31Z
C_hit,orig,2f_slru,async_win,128,11,0,0.00,100.00,88.34,759.02,185.38,412.57,161.06,29.00,847.36,500.91,1.54,0.00,62.00,1.00,43006716,2026-09-23T02:03:31Z
C_hit,orig,leaf_freq_K10,async,128,11,0,0.00,100.00,974.18,268.50,194.74,73.76,,,1242.68,1047.94,1.68,36.00,64.00,1.00,43006596,2026-09-23T02:03:31Z
C_hit,orig,leaf_freq_K10,async_win,128,11,0,0.00,100.00,849.76,265.30,194.63,10.44,60.23,3.00,1115.06,860.20,1.69,36.00,64.00,1.00,43006296,2026-09-23T02:03:31Z
C_hit,orig,leaf_rand_K10,async,128,11,0,0.00,100.00,943.33,267.33,193.86,73.47,,,1210.66,1016.80,1.68,36.00,64.00,1.00,43006700,2026-09-23T02:03:32Z
C_hit,orig,leaf_rand_K10,async_win,128,11,0,0.00,100.00,945.67,271.15,195.59,14.90,60.66,10.00,1216.82,960.57,1.66,36.00,64.00,1.00,43007368,2026-09-23T02:03:32Z
C_hit,orig,learned_markov_14,async,128,11,0,0.00,100.00,500.20,274.09,191.89,82.19,,,774.29,582.39,1.65,35.00,66.00,1.00,43007568,2026-09-23T02:03:32Z
C_hit,orig,learned_markov_14,async_win,128,11,0,0.00,100.00,561.50,271.42,193.51,15.89,62.02,6.00,832.92,577.39,1.66,35.00,66.00,1.00,43006440,2026-09-23T02:03:33Z
C_hit,orig,learned_markov_28,async,128,11,0,0.00,100.00,616.22,287.38,192.96,94.42,,,903.60,710.64,1.67,35.00,66.00,1.00,43007108,2026-09-23T02:03:33Z
C_hit,orig,learned_markov_28,async_win,128,11,0,0.00,100.00,505.60,277.53,193.60,23.38,60.54,8.00,783.13,528.98,1.68,35.00,66.00,1.00,43007088,2026-09-23T02:03:33Z
A,orig,lp_sorted,pread,128,1,1,0.00,100.00,92.37,18774.51,141.90,18632.61,,,18866.88,18724.98,1.54,0.00,278.00,1.00,42999832,2026-09-23T02:03:34Z
A,orig,lp_sorted,async,128,1,1,0.00,100.00,98.08,7237.99,136.03,7101.95,,,7336.07,7200.03,1.61,0.00,278.00,1.00,42996432,2026-09-23T02:03:34Z
A,orig,lp_shuf,pread,128,1,1,0.00,100.00,100.56,273766.59,187.87,273578.72,,,273867.15,273679.28,1.54,0.00,278.00,1.00,42999300,2026-09-23T02:03:34Z
A,orig,lp_shuf,async,128,1,1,0.00,100.00,95.77,7144.20,185.91,6958.29,,,7239.97,7054.06,1.58,0.00,278.00,1.00,42991996,2026-09-23T02:03:35Z
B,orig,lp_sorted,pread,128,1,1,0.00,100.00,98.92,18251.16,184.69,18066.47,,,18350.08,18165.39,1.58,0.00,278.00,1.00,43003376,2026-09-23T02:03:35Z
B,orig,lp_sorted,async,128,1,1,0.00,100.00,97.20,7338.78,238.84,7099.94,,,7435.98,7197.14,1.61,0.00,278.00,1.00,43000880,2026-09-23T02:03:35Z
B,orig,lp_shuf,pread,128,1,1,0.00,100.00,98.87,266742.36,147.34,266595.02,,,266841.23,266693.89,1.60,0.00,278.00,1.00,43004020,2026-09-23T02:03:36Z
B,orig,lp_shuf,async,128,1,1,0.00,100.00,100.11,7024.53,148.60,6875.94,,,7124.64,6976.05,1.61,0.00,278.00,1.00,43001048,2026-09-23T02:03:36Z
C,orig,lp_sorted,pread,128,1,1,0.00,100.00,96.70,2985.98,183.99,2802.00,,,3082.68,2898.70,1.52,0.00,37.00,1.00,43004548,2026-09-23T02:03:36Z
C,orig,lp_sorted,async,128,1,1,0.00,100.00,97.34,933.85,176.60,757.24,,,1031.19,854.58,1.54,0.00,37.00,1.00,43006160,2026-09-23T02:03:36Z
C,orig,lp_shuf,pread,128,1,1,0.00,100.00,94.43,29399.95,186.48,29213.47,,,29494.38,29307.90,1.53,0.00,37.00,1.00,43004776,2026-09-23T02:03:37Z
C,orig,lp_shuf,async,128,1,1,0.00,100.00,93.95,880.15,184.18,695.98,,,974.10,789.93,1.55,0.00,37.00,1.00,43004860,2026-09-23T02:03:37Z
C_hit,orig,lp_sorted,pread,128,1,1,0.00,100.00,91.83,4537.85,185.56,4352.29,,,4629.68,4444.12,1.55,0.00,62.00,1.00,43002952,2026-09-23T02:03:37Z
C_hit,orig,lp_sorted,async,128,1,1,0.00,100.00,86.89,1561.51,174.78,1386.73,,,1648.40,1473.62,1.58,0.00,62.00,1.00,43004320,2026-09-23T02:03:37Z
C_hit,orig,lp_shuf,pread,128,1,1,0.00,100.00,93.03,53990.05,178.93,53811.12,,,54083.08,53904.15,1.55,0.00,62.00,1.00,43004068,2026-09-23T02:03:38Z
C_hit,orig,lp_shuf,async,128,1,1,0.00,100.00,93.20,1604.86,184.47,1420.39,,,1698.06,1513.59,1.55,0.00,62.00,1.00,43004672,2026-09-23T02:03:38Z
A,orig,lp_sorted,pread,128,2,0,0.00,100.00,93.36,18123.67,183.22,17940.45,,,18217.03,18033.81,1.54,0.00,278.00,1.00,43004964,2026-09-23T02:03:38Z
A,orig,lp_shuf,pread,128,2,0,0.00,100.00,95.02,272481.34,173.68,272307.67,,,272576.36,272402.69,1.56,0.00,278.00,1.00,43005012,2026-09-23T02:03:39Z
B,orig,lp_sorted,pread,128,2,0,0.00,100.00,94.55,18287.33,175.21,18112.12,,,18381.88,18206.67,1.61,0.00,278.00,1.00,43006116,2026-09-23T02:03:39Z
