page_number,file_offset
1137,4653056
1138,4657152
1139,4661248
1140,4665344
1141,4669440
1142,4673536
1143,4677632
1144,4681728
1145,4685824
1146,4689920
1147,4694016
1148,4698112
1149,4702208
1150,4706304
1151,4710400
1152,4714496
1153,4718592
1154,4722688
1155,4726784
1156,4730880
1157,4734976
1158,4739072
1159,4743168
1160,4747264
1161,4751360
1162,4755456
1163,4759552
1164,4763648
1165,4767744
1166,4771840
1167,4775936
1168,4780032
1169,4784128
1170,4788224
1171,4792320
1172,4796416
1173,4800512
1174,4804608
1175,4808704
1176,4812800
1177,4816896
1178,4820992
1179,4825088
1180,4829184
1181,4833280
1182,4837376
1183,4841472
1184,4845568
1185,4849664
1186,4853760
1187,4857856
1188,4861952
1189,4866048
1190,4870144
1191,4874240
1192,4878336
1193,4882432
1194,4886528
1195,4890624
1196,4894720
1197,4898816
1198,4902912
1199,4907008
1200,4911104
1201,4915200
1202,4919296
1203,4923392
1204,4927488
1205,4931584
1206,4935680
1207,4939776
1208,4943872
1209,4947968
1210,4952064
1211,4956160
1212,4960256
1213,4964352
1214,4968448
1215,4972544
1216,4976640
1217,4980736
1218,4984832
1219,4988928
1220,4993024
1221,4997120
1222,5001216
1223,5005312
1224,5009408
1225,5013504
1226,5017600
1227,5021696
1228,5025792
1229,5029888
1230,5033984
1231,5038080
1232,5042176
1233,5046272
1234,5050368
1235,5054464
1236,5058560
1237,5062656
1238,5066752
1239,5070848
1240,5074944
1241,5079040
1242,5083136
1243,5087232
1244,5091328
1245,5095424
1246,5099520
1247,5103616
1248,5107712
1249,5111808
1250,5115904
1251,5120000
1252,5124096
1253,5128192
1254,5132288
1255,5136384
1256,5140480
1257,5144576
1258,5148672
1259,5152768
1260,5156864
1261,5160960
1262,5165056
1263,5169152
1264,5173248
1265,5177344
1266,5181440
1267,5185536
1268,5189632
1269,5193728
1270,5197824
1271,5201920
1272,5206016
1273,5210112
1274,5214208
1275,5218304
1276,5222400
1277,5226496
1278,5230592
1279,5234688
1280,5238784
1281,5242880
1282,5246976
1283,5251072
1284,5255168
1285,5259264
1286,5263360
1287,5267456
1288,5271552
1289,5275648
1290,5279744
1291,5283840
1292,5287936
1293,5292032
1294,5296128
1295,5300224
1296,5304320
1297,5308416
1298,5312512
1299,5316608
1300,5320704
1301,5324800
1302,5328896
1303,5332992
1304,5337088
1305,5341184
1306,5345280
1307,5349376
1308,5353472
1309,5357568
1310,5361664
1311,5365760
1312,5369856
1313,5373952
1314,5378048
1315,5382144
1316,5386240
1317,5390336
1318,5394432
1319,5398528
1320,5402624
1321,5406720
1322,5410816
1323,5414912
1324,5419008
1325,5423104
1326,5427200
1327,5431296
1328,5435392
1329,5439488
1330,5443584
1331,5447680
1332,5451776
1333,5455872
1334,5459968
1335,5464064
1336,5468160
1337,5472256
1338,5476352
1339,5480448
1340,5484544
1341,5488640
1342,5492736
1343,5496832
1344,5500928
1345,5505024
1346,5509120
1347,5513216
1348,5517312
1349,5521408
1350,5525504
1351,5529600
1352,5533696
1353,5537792
1354,5541888
1355,5545984
1356,5550080
1357,5554176
1358,5558272
1359,5562368
1360,5566464
1361,5570560
1362,5574656
1363,5578752
1364,5582848
1365,5586944
1366,5591040
1367,5595136
1368,5599232
1369,5603328
1370,5607424
1371,5611520
1372,5615616
1373,5619712
1374,5623808
1375,5627904
1376,5632000
1377,5636096
1378,5640192
1379,5644288
1380,5648384
1381,5652480
1382,5656576
1383,5660672
1384,5664768
1385,5668864
1386,5672960
1387,5677056
1388,5681152
1389,5685248
1390,5689344
1391,5693440
1392,5697536
1393,5701632
1394,5705728
1395,5709824
1396,5713920
1397,5718016
1398,5722112
1399,5726208
1400,5730304
1401,5734400
1402,5738496
1403,5742592
1404,5746688
1405,5750784
1406,5754880
1407,5758976
1408,5763072
1409,5767168
1410,5771264
1411,5775360
1412,5779456
1413,5783552
1414,5787648
1415,5791744
1416,5795840
1417,5799936
1418,5804032
1419,5808128
1420,5812224
1421,5816320
1422,5820416
1423,5824512
1424,5828608
1425,5832704
1426,5836800
1427,5840896
1428,5844992
1429,5849088
1430,5853184
1431,5857280
1432,5861376
1433,5865472
1434,5869568
1435,5873664
1436,5877760
1437,5881856
1438,5885952
1439,5890048
1440,5894144
1441,5898240
1442,5902336
1443,5906432
1444,5910528
1445,5914624
1446,5918720
1447,5922816
1448,5926912
1449,5931008
1450,5935104
1451,5939200
1452,5943296
1453,5947392
1454,5951488
1455,5955584
